location_x,location_y
-179.07074,-8.6405172
-179.67799,-8.6677141
-180.28648,-8.6967163
-180.89659,-8.7297449
-181.49098,-8.7563391
-182.0887,-8.7815771
-182.69054,-8.8110218
-183.29161,-8.8370066
-183.89577,-8.8649464
-184.49947,-8.8916616
-185.10471,-8.919136
-185.71304,-8.9463949
-186.31325,-8.9740458
-186.91138,-9.0047617
-187.5192,-9.033721
-188.11772,-9.0623569
-188.7178,-9.0936012
-189.33249,-9.1183596
-189.93037,-9.1485996
-190.53415,-9.1754522
-191.13063,-9.20294
-191.73546,-9.2309523
-192.33618,-9.2566328
-192.93558,-9.2867622
-193.53714,-9.3150043
-194.15622,-9.3428335
-194.75003,-9.369628
-195.3558,-9.399559
-195.95172,-9.4298077
-196.55698,-9.4551811
-197.16061,-9.4852409
-197.75706,-9.508935
-198.35443,-9.5369081
-198.95908,-9.5710106
-199.56485,-9.600152
-200.15633,-9.6301479
-200.76747,-9.6587667
-201.36984,-9.6876965
-201.97768,-9.7148151
-202.58466,-9.7427301
-203.19936,-9.7725916
-203.7874,-9.7988462
-204.39287,-9.8317089
-204.98981,-9.856801
-205.59598,-9.8830624
-206.19362,-9.9136353
-206.79457,-9.9419146
-207.403,-9.9696779
-208.01318,-9.9986448
-208.59784,-10.025395
-209.2095,-10.058276
-209.81061,-10.085516
-210.40671,-10.114904
-211.00342,-10.142945
-211.60925,-10.171685
-212.22838,-10.200336
-212.82253,-10.228799
-213.42174,-10.256513
-214.02879,-10.281977
-214.63051,-10.313659
-215.23221,-10.340159
-215.8358,-10.369229
-216.43378,-10.397175
-217.03291,-10.420915
-217.62624,-10.452696
-218.23219,-10.479922
-218.83273,-10.508191
-219.43678,-10.539098
-220.04491,-10.571173
-220.64903,-10.599231
-221.24312,-10.626967
-221.84375,-10.65328
-222.44255,-10.682014
-223.04073,-10.710385
-223.646,-10.740716
-224.24857,-10.771016
-224.84285,-10.796957
-225.44763,-10.825833
-226.0518,-10.852442
-226.65974,-10.88217
-227.25912,-10.910161
-227.86417,-10.936188
-228.46381,-10.96367
-229.06306,-10.993624
-229.66527,-11.024879
-230.27161,-11.052642
-230.8707,-11.083679
-231.47226,-11.111088
-232.06708,-11.137039
-232.66847,-11.166451
-233.27647,-11.191968
-233.87007,-11.222436
-234.46936,-11.251221
