,X,Y,Z,Classification
51055,1175008.16,1883622.78,592.71,2
51155,1175008.18,1884472.35,643.39,6
51306,1175008.21,1884896.73,593.64,3
51400,1175008.22,1883046.96,628.17,5
51518,1175008.24,1883080.9000000001,647.97,5
51575,1175008.25,1883144.98,623.83,6
51600,1175008.26,1884482.68,642.82,6
52150,1175008.36,1884128.82,603.65,3
52442,1175008.41,1884123.26,596.9300000000001,3
52449,1175008.41,1884118.95,594.01,2
52534,1175008.43,1884754.11,598.26,3
52803,1175008.47,1882950.81,632.63,5
52849,1175008.48,1883184.53,619.82,6
53084,1175008.52,1883780.17,592.72,2
53214,1175008.54,1883405.46,593.3000000000001,2
53321,1175008.56,1883122.2,593.5600000000001,2
53505,1175008.59,1882877.01,648.13,5
53845,1175008.6500000001,1882880.28,651.48,5
53915,1175008.66,1882741.5,593.5500000000001,2
53993,1175008.67,1882876.92,650.95,5
54150,1175008.7,1883002.8,632.14,5
54336,1175008.73,1882667.17,593.23,2
54624,1175008.78,1883045.02,666.9300000000001,5
55054,1175008.86,1883064.58,664.5600000000001,5
55148,1175008.8800000001,1883589.1600000001,603.52,6
55227,1175008.8900000001,1882619.51,593.5600000000001,2
55242,1175008.9000000001,1884485.57,642.72,6
55285,1175008.9000000001,1882951.03,618.44,5
55371,1175008.92,1884041.01,594.35,3
55537,1175008.95,1884556.55,615.65,5
55556,1175008.95,1883716.32,598.16,3
56124,1175009.04,1883192.6400000001,600.5600000000001,3
56261,1175009.07,1884432.52,626.47,5
56400,1175009.09,1884435.48,625.02,5
56445,1175009.09,1883026.22,631.0600000000001,5
56578,1175009.11,1883075.72,644.5,5
56679,1175009.1300000001,1884940.62,641.09,5
56917,1175009.16,1882934.6400000001,623.53,5
56940,1175009.17,1884795.78,610.83,4
57061,1175009.19,1884850.47,592.29,3
57174,1175009.2,1882808.04,594.09,2
57462,1175009.25,1883976.22,608.27,4
57569,1175009.27,1884944.78,639.52,5
57579,1175009.27,1884433.82,619.92,5
57648,1175009.28,1884082.69,592.54,2
57654,1175009.28,1883449.4000000001,596.2,3
57664,1175009.28,1883194.18,611.61,4
58036,1175009.35,1884954.08,638.09,5
58232,1175009.37,1882883.82,651.63,5
58247,1175009.3800000001,1884928.58,628.59,5
58291,1175009.3800000001,1882914.79,657.9300000000001,5
58349,1175009.3900000001,1883325.59,602.13,6
58557,1175009.42,1883382.97,594.24,2
58622,1175009.43,1883257.4000000001,592.86,2
58713,1175009.45,1883920.9100000001,593.5500000000001,3
58803,1175009.46,1882885.44,649.0500000000001,5
59013,1175009.5,1883954.24,592.89,2
59332,1175009.55,1883884.57,603.72,4
59552,1175009.59,1884649.77,593.9,3
59637,1175009.6,1884279.0,594.96,3
